id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
722239695102639642,Guest suite in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,433846494,Lauren & Brian,,28806,35.57148,-82.58,Entire home/apt,86,1,45,2023-12-04,3.05,1,0,32,
722374129746452740,Home in Asheville · ★4.87 · 4 bedrooms · 5 beds · 3 baths,480217041,AvantStay,,28806,35.6186809,-82.6496751,Entire home/apt,168,1,15,2023-11-25,1.07,27,316,14,
722503811840502032,Condo in Asheville · 2 bedrooms · 2 beds · 2 baths,64357179,Kevin,,28806,35.58699,-82.57183,Entire home/apt,116,30,2,2023-10-16,0.15,1,365,1,
722540985613450332,Cottage in Arden · ★4.95 · 2 bedrooms · 4 beds · 1 bath,121681645,Evolve,,28704,35.47514,-82.52087,Entire home/apt,111,2,22,2023-09-18,1.49,47,338,14,
723766678241650228,Guest suite in Asheville · 2 bedrooms · 3 beds · 1 bath,1710864,Katie,,28806,35.56294,-82.64032,Entire home/apt,,1,1,2022-11-13,0.07,2,0,0,
724499520908533591,Home in Asheville · 2 bedrooms · 2 beds · 2.5 baths,4438609,Alisa,,28806,35.59173,-82.61949,Entire home/apt,154,14,0,,,1,365,0,
724812786793812111,Home in Asheville · ★4.81 · 2 bedrooms · 2 beds · 1.5 baths,6762441,Debra,,28805,35.62067,-82.47673,Entire home/apt,87,2,68,2023-12-17,4.73,1,166,50,
726320552731902243,Cabin in Asheville · ★5.0 · 2 bedrooms · 3 beds · 2 baths,24329986,Linda,,28803,35.4969463013981,-82.50987085729483,Entire home/apt,233,3,6,2023-12-09,3.21,1,158,6,
726710040233997641,Home in Asheville · ★4.71 · 2 bedrooms · 3 beds · 2 baths,121681645,Evolve,,28804,35.62201,-82.60492,Entire home/apt,219,2,28,2023-10-30,2.01,47,355,21,
726762814576596361,Cabin in Arden · ★5.0 · 1 bedroom · 2 beds · 1 bath,477251437,Asheville River Cabins,,28704,35.4913256,-82.5715398,Entire home/apt,305,1,21,2023-11-12,1.44,13,312,18,
726890842389291587,Cabin in Arden · ★4.90 · 1 bedroom · 2 beds · 1 bath,477251437,Asheville River Cabins,,28704,35.4913256,-82.5715398,Entire home/apt,313,1,20,2023-09-02,1.41,13,0,17,
727557284655130228,Home in Asheville · 4 bedrooms · 4 beds · 3 baths,10603047,Greybeard,,28805,35.60824,-82.51169,Entire home/apt,324,2,2,2023-03-17,0.21,13,0,2,
727584405245807607,Cabin in Arden · ★4.92 · 2 bedrooms · 2 beds · 1 bath,481696277,Catherine,,28704,35.47932,-82.5089,Entire home/apt,57,2,60,2023-11-26,4.12,1,40,44,
727716425054670664,Home in Asheville · ★5.0 · 2 bedrooms · 3 beds · 2 baths,172948637,Elevation Escapes,,28803,35.57901,-82.54459,Entire home/apt,189,2,19,2023-11-05,1.31,4,53,10,
728068126846472435,Cabin in Asheville · Studio · 1 bed · 1 bath,174586650,Perry,,28805,35.58656186124431,-82.49205105006695,Entire home/apt,53,30,2,2023-11-12,1.50,5,17,2,
728198095057330344,Home in Asheville · ★4.89 · 2 bedrooms · 3 beds · 1 bath,440166207,Mike & Christine,,28804,35.64816,-82.62845,Entire home/apt,163,2,27,2023-12-03,4.91,2,166,27,
728325273739436780,Cottage in Asheville · ★5.0 · 2 bedrooms · 2 beds · 1 bath,138799786,David,,28801,35.60735,-82.54538,Entire home/apt,150,17,4,2023-04-29,0.31,1,197,3,
729554998945769967,Vacation home in Asheville · ★5.0 · 1 bedroom · 2 beds · 1 bath,202047615,Katelyn,,28806,35.58638,-82.57114,Entire home/apt,160,28,6,2023-11-20,0.47,1,243,5,
729883698713955634,Home in Asheville · ★5.0 · 3 bedrooms · 5 beds · 1 bath,173861479,Amy,,28806,35.57866,-82.59716,Entire home/apt,234,2,65,2023-11-26,5.04,2,101,63,
730411227465026445,Home in Asheville · ★4.75 · 2 bedrooms · 2 beds · 2 baths,328777835,Mary Jo,,28804,35.6332,-82.49947,Entire home/apt,250,3,4,2023-10-14,0.28,1,358,3,
730427233403003806,Guest suite in Asheville · ★4.98 · 1 bedroom · 1 bed · 1 bath,11459050,Kristen,,28806,35.58379,-82.58628,Entire home/apt,88,1,102,2023-12-11,7.23,1,0,93,
731826340233671263,Home in Asheville · 3 bedrooms · 4 beds · 2.5 baths,121681645,Evolve,,28804,35.63863,-82.57063,Entire home/apt,173,30,2,2023-10-20,0.23,47,294,2,
731985170250976258,Home in Asheville · ★4.71 · 3 bedrooms · 3 beds · 2 baths,434401877,Bryce,,28803,35.54023,-82.48465,Entire home/apt,186,28,7,2023-10-30,0.52,2,56,6,
732034214286221500,Guest suite in Asheville · ★4.94 · 1 bedroom · 2 beds · 1 private bath,482537790,Morgan And Nick,,28805,35.5902436,-82.50892209999999,Private room,129,1,50,2023-11-29,3.44,1,0,35,
732068531393078498,Cottage in Asheville · ★5.0 · 2 bedrooms · 2 beds · 1 bath,272258450,David And Lisa,,28805,35.60687,-82.48593,Entire home/apt,112,2,52,2023-12-17,3.67,1,329,46,
732570591669613613,Rental unit in Asheville · ★4.92 · 1 bedroom · 2 beds · 1 bath,7262993,Mike,,28806,35.57438,-82.59245,Entire home/apt,108,1,131,2023-12-15,9.01,2,0,112,
734600412753832245,Rental unit in Asheville · ★5.0 · 1 bedroom · 2 beds · 1 bath,37506688,Jason,,28803,35.5739736,-82.545587,Entire home/apt,100,2,12,2023-12-03,0.84,1,0,11,
735578419438653716,Home in Asheville · ★4.97 · 2 bedrooms · 2 beds · 1 bath,19828041,Caleigh,,28804,35.63116,-82.61207,Entire home/apt,98,2,86,2023-12-02,6.13,1,34,78,
736295621510170074,Guest suite in Asheville · ★5.0 · 2 bedrooms · 2 beds · 1 bath,87843651,Kait,,28805,35.58878,-82.5337,Entire home/apt,175,1,45,2023-11-14,3.18,1,360,39,
736491756646141485,Home in Asheville · 2 bedrooms · 2 beds · 1 bath,9128024,Erika,,28801,35.5801889,-82.55595939999999,Private room,110,30,2,2022-10-31,0.14,1,14,0,
737702146773561596,Rental unit in Asheville · ★4.78 · 1 bedroom · 2 beds · 1 bath,40376511,Paula,,28806,35.5863838,-82.5789482,Entire home/apt,93,1,37,2023-12-02,2.86,3,112,35,
739116609943778306,Boutique hotel in Asheville · ★5.0 · 4 bedrooms · 5 beds · 4.5 shared baths,420259754,Elevation Lofts Hotel,,28801,35.5971085,-82.5521036,Private room,1492,1,11,2023-12-17,0.81,6,225,8,
739222634773710782,Condo in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,61844145,Libby,,28806,35.5859949,-82.5722052,Entire home/apt,110,30,3,2023-10-31,0.27,3,112,3,
739340943221084317,Home in Biltmore Forest · 3 bedrooms · 4 beds · 2.5 baths,332614799,Alexey,,28803,35.53827,-82.51623,Entire home/apt,80,28,2,2023-06-29,0.16,3,51,1,
739393600614528652,Guest suite in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 private bath,483906467,Patricia,,28806,35.56906,-82.56819,Private room,,2,3,2023-04-20,0.23,1,0,1,
739776038240648327,Townhouse in Asheville · ★4.95 · 3 bedrooms · 4 beds · 3 baths,167186184,Towns,,28803,35.55671,-82.48468,Entire home/apt,204,2,19,2023-11-13,1.42,113,356,17,
739833192373082278,Cabin in Asheville · ★4.94 · 2 bedrooms · 2 beds · 1 bath,56519777,Caitlin,,28805,35.62161,-82.47699,Entire home/apt,235,2,31,2023-12-08,3.77,1,0,31,
740808604549304446,Guest suite in Asheville · ★4.94 · 1 bedroom · 2 beds · 1 bath,484188441,Juli,,28803,35.5680845,-82.529174,Entire home/apt,105,1,85,2023-12-04,8.42,1,0,85,
741832508092679422,Home in Asheville · ★5.0 · 3 bedrooms · 5 beds · 2.5 baths,4649981,Sean,,28801,35.60638,-82.55003,Entire home/apt,,4,4,2023-07-30,0.34,1,0,4,
742265784665629640,Guest suite in Asheville · Studio · 1 bed · 1 bath,6975664,Anita,,28801,35.59973,-82.55858,Entire home/apt,250,3,2,2023-05-29,0.24,1,232,2,
742621627565951201,Guest suite in Asheville · ★4.92 · 1 bedroom · 1 bed · 1 bath,349470538,Alona,,28803,35.54808,-82.49402,Entire home/apt,48,1,107,2023-12-16,8.63,1,85,104,
742643748995522886,Home in Asheville · 3 bedrooms · 4 beds · 2 baths,130451455,Angelica,,28805,35.58799,-82.53056,Entire home/apt,149,30,0,,,2,355,0,
743517816016987005,Rental unit in Candler · 1 bedroom · 3 beds · 1 bath,309975357,Patricia,,28715,35.560872,-82.6644706,Entire home/apt,121,1,0,,,1,364,0,
745583253920309322,Home in Asheville · ★4.94 · 5 bedrooms · 8 beds · 3 baths,484975516,Jesus,,28806,35.62481,-82.61906,Entire home/apt,577,1,33,2023-11-26,2.42,1,337,27,
745647738527624779,Home in Asheville · 2 bedrooms · 2 beds · 2 baths,76236543,Jody & Jim,,28805,35.59618,-82.46435,Entire home/apt,129,30,0,,,2,88,0,
746222250886022872,Cabin in Asheville · ★5.0 · Studio · 1 bed · 1 bath,174586650,Perry,,28805,35.586708,-82.49215099999999,Entire home/apt,50,30,4,2022-12-16,0.29,5,16,0,
746959677162494830,Home in Asheville · ★5.0 · 3 bedrooms · 3 beds · 2 baths,7657679,Jane,,28805,35.63292,-82.49218,Entire home/apt,350,2,9,2023-11-12,0.70,2,0,8,
747048050097929410,Home in Asheville · 1 bedroom · 1 bed · 1 private bath,7657679,Jane,,28805,35.6332872,-82.49276789999999,Private room,95,1,1,2022-10-30,0.07,2,359,0,
747701982580242170,Home in Asheville · ★4.80 · 4 bedrooms · 4 beds · 2.5 baths,121681645,Evolve,,28803,35.55269,-82.51122,Entire home/apt,229,2,15,2023-12-03,1.27,47,351,15,
747769144070162294,Townhouse in Buncombe County · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,288110250,Renee,,28704,35.44711,-82.50097,Entire home/apt,95,3,3,2023-11-26,0.22,2,361,2,
747937797086662089,Home in Asheville · ★4.57 · 2 bedrooms · 5 beds · 2 baths,121681645,Evolve,,28806,35.62736,-82.636,Entire home/apt,96,2,14,2023-11-26,1.20,47,354,14,
750218471903867145,Home in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,135830592,Elisa,,28803,35.57754,-82.53215,Entire home/apt,189,30,5,2023-11-17,0.47,1,170,5,
750299912863718302,Home in Asheville · ★5.0 · 2 bedrooms · 2 beds · 1 bath,485612314,John,,28801,35.60446,-82.55499,Entire home/apt,171,2,47,2023-12-05,4.18,1,164,47,
750526187830005720,Home in Woodfin · ★4.97 · 3 bedrooms · 4 beds · 1 bath,120082470,Mitch,,28804,35.62496,-82.59178,Entire home/apt,184,2,64,2023-12-17,4.79,1,327,61,
750564384185817629,Home in Asheville · ★5.0 · 3 bedrooms · 4 beds · 2 baths,4406632,David,,28806,35.57623,-82.62977,Entire home/apt,245,2,54,2023-11-26,3.97,1,0,45,
